Ticker,Timeframe,RSI_1H,RSI_Z_1H,BBP_20_2.0_1H,MACDh_12_26_9_Z_1H,OBV_Z_1H,CMF_Z_1H,VWAP_Z_1H,sumZZ_1H,slope_sumZZ_1H,ATR_Z_1H
LQD,1H,59.85412090788243,-0.14849997722427696,0.7738924608438948,0.25438628792476053,-2.1259023320151336,-0.8800870010732786,-0.18905401139995912,-3.146588642266368,-0.221837610644211,-0.5855820685751388
HYG,1H,61.27581758757217,-0.027415328060116442,0.9248810410610357,0.011027587495430041,0.841529746233675,0.057862283895148046,-0.37555232104600866,1.4758385027210639,-0.19256083586033376,-0.7673758725707395
USO,1H,51.74508764169664,-0.8391391706075605,0.5465690680221853,0.12761495609362258,-0.04567062877842865,-0.6102726586470583,-0.45257076261681056,-2.1846535064599415,-0.16703392845165835,-0.10164279217230159
BNO,1H,52.324915398948406,-0.7897557531983044,0.48962794860361314,-0.028958186008510065,0.01823891707277488,-0.7912610487823728,-0.7262582214015815,-3.3520969234369735,-0.1758938488108243,-0.6780782930393826
UNG,1H,35.19748588347556,-2.248483781189131,0.15524315938942546,-0.011846441447127345,-0.1024588705501136,-2.5112643049199947,-0.7984089998211055,-6.4676651523467825,-0.18621620669188793,-0.48688529215308146
GLD,1H,47.693849230372486,-1.1841795640497181,0.5863825787152608,1.484269709430662,0.5933764352852335,0.6311642212352251,1.087613242470507,3.996380110812732,-0.08894221563233265,1.7465645991021987
GDX,1H,51.66137603189467,-0.8462688143977191,0.7246253185526008,0.47672982024937255,-0.49636161966124287,1.0079329325319417,-0.6022056676272941,-0.11908059314753894,-0.052056844801419686,-0.2642993811893687
SLV,1H,44.62111010460688,-1.445882038516715,0.40370689294305206,-0.007682727015268447,-0.2571413545360384,0.6366333855172175,-0.7152183464759256,-2.5262335584287428,-0.03054350865294537,-0.6793554484421125
SIL,1H,51.34702536041695,-0.8730417831428556,0.815945004788157,0.44400315929812456,0.03606230773539044,0.4242140432173674,-0.6482906403039497,-1.2620653122286831,-0.009638048548395593,-0.39971018568156264
CPER,1H,39.936199237695064,-1.8448917547166415,0.07298595404089156,-0.09419536912918713,0.04685101631431503,-1.6033892365973121,-0.7153359701100968,-5.1197053679979145,-0.056438584787292974,-0.5465641382848312
DBA,1H,59.95378815554985,-0.14001140586487798,0.7847611490577604,0.05937601061035083,0.022016530778139972,-0.04124166956459461,-0.7288123480259688,-1.8831159422634327,-0.08124168159926566,-0.8074833989305179
DBC,1H,42.5485374086593,-1.6224012224897677,0.2839641262808615,-0.0965589516874244,0.0806226144340947,-2.043339885646727,-0.7700443241924976,-5.638483916179662,-0.07972087288201897,-0.8475931330065226
UUP,1H,55.75997850032345,-0.49719446609062057,0.7844605998914973,0.018242308162009887,0.18669429839529134,0.29405394257184575,-0.7256274615803384,-1.9345152439433637,-0.019614114760880097,-0.8667082528579113
FXE,1H,41.37213939074088,-1.722594001520631,0.1928714108939415,-0.0933248835219448,0.017527640684500197,-2.246192271975382,-0.213120509767702,-5.254774307717181,-0.005438372973665131,-0.6380625372898443
FXY,1H,51.6639159831173,-0.8460524889978782,0.593118594517808,0.19650510688137765,-0.01727325448429218,-0.1225252951304504,-0.48738244226166305,-2.3028950194874085,-0.049741527920236804,-0.6927158272096305
CYB,1H,,,,,,,,0.0,0.012523795335337923,
VNQ,1H,71.78373285421651,0.8675345242431364,0.9224205054955262,1.0976619977917972,-0.2651126115323632,0.6440764724307055,-0.3105931970821031,1.7289649255655357,0.05976474834537496,-0.17156912304995464
REET,1H,75.39627394669175,1.1752114549291799,0.9384164966681221,0.2805212431160512,0.049487090384524576,0.052834928581849336,-0.7487197464891115,-0.31071477035212036,0.11227458729196405,-0.7967277709577604
INFL,1H,73.1096736528983,0.9804637296879071,1.0696206951076812,0.3677525010317245,0.0458042321957221,-0.04209225297423131,-0.630723084095676,-0.32836316757334716,0.07131108958621207,-0.6913110046762466
VXX,1H,40.77356204988864,-1.7735743043870107,0.2789787291857522,0.6238659404336201,0.013575562959369614,-1.9351983659901213,-0.5604697657653389,-3.598031538665556,0.03984806582799506,0.2713230384335884
