Ticker,Timeframe,RSI_5M,RSI_Z_5M,BBP_20_2.0_5M,MACDh_12_26_9_Z_5M,OBV_Z_5M,CMF_Z_5M,VWAP_Z_5M,sumZZ_5M,slope_sumZZ_5M,ATR_Z_5M
BNDX,5M,40.33090938272568,-1.2068694911806557,-0.04166666594169103,0.20787459698952127,-0.20737855787181142,-1.5407328289968811,-0.5827775417085344,-4.385052692268359,-0.34864759428447434,-0.7771682155359425
EMB,5M,51.070181020127286,-0.4385814840739249,0.40724480203411983,0.1452581443882703,0.22931281714481447,-0.2547586113404158,-0.30318126016540276,-1.5060037824932566,-0.334367957332208,-0.6612197941537424
LQD,5M,53.453519827430306,-0.2680773116917087,0.5499395039111217,0.16892813282915187,-1.2563231015432157,-0.7276053839387826,-0.19075465027246596,-2.6193546962983882,-0.2866756591012283,-0.5565178606471928
HYG,5M,63.908021830459724,0.47983826213804265,0.9036499112485671,0.2423350744419336,4.2458464463659125,-0.5379174587059541,-0.37797438775353326,4.611097653887889,-0.17289122095728635,-0.646633200820356
USO,5M,38.60501555081387,-1.3303400185467136,0.12453307246643656,-0.3027227438401153,0.08041591414305652,-0.3117238640791819,-0.45367790006668346,-2.939818172236857,-0.16357332818658218,-0.3579119704733986
BNO,5M,52.72110938931845,-0.32047398950004397,0.34063522729401513,-0.03030680444179249,-0.1066475149590798,0.604350112583706,-0.7274391113156047,-1.4587960389769745,-0.12637198467732702,-0.5248917698954508
UNG,5M,43.320680180957744,-0.9929811451330666,0.2955561613169282,0.15177159733873627,-0.008043131551714811,-0.11391875906090689,-0.8014427765844637,-2.6335067761508673,-0.06177076710537932,-0.5345018042201654
GLD,5M,71.10419199823657,0.9946526204737884,1.1236849966154623,1.4537896795196588,-0.28177321852702625,-0.4422019284064067,1.0743222873495155,3.8314705454545086,0.01293257521021252,1.3920531720240532
GDX,5M,67.09023508020431,0.7074939503804567,1.067362560781982,0.4337661516510009,-0.3136577422944788,0.8531845043207679,-0.6020075647034072,1.475141509150708,0.04372834938946985,-0.34642290664145625
SLV,5M,52.86415066897842,-0.3102408095047437,0.5281271975187194,0.21026885402468698,-0.7718481656621056,-0.2730010416979948,-0.7164371349829749,-2.558082628310248,0.07240112262179792,-0.6854471168018873
SIL,5M,62.5733456892349,0.3843554670941671,0.7502909252495337,0.15482359403525425,-0.11314275957303153,0.432856688905777,-0.6481805168726843,-0.4987778733815127,0.14686821089185348,-0.38488393646395946
CPER,5M,30.220602861257444,-1.9301613037803795,-0.033292770970219245,-1.7379130997803047,-0.18513604318966612,-0.31077401240248975,-0.7160413483429352,-5.08017572471719,0.143030319084154,0.16008088229027895
DBA,5M,60.80059469890882,0.25753277637175953,1.0590169942178336,0.17459025305266235,-0.16668578312684668,-0.9173964180296066,-0.7292346670280742,-2.15797186364274,0.1087762596201287,-0.6783565590275171
DBC,5M,38.89246167586759,-1.3097761089982345,0.30052129468881267,0.3019974020847736,-0.08907711944319614,1.0903750582010128,-0.7711209043244506,-1.8075000413042304,0.10478367181244479,-0.6865819979852167
UUP,5M,58.43296415372112,0.08815237381334239,0.684245497897876,0.3295153053161885,-0.12286161272357335,0.022556454585330222,-0.7263668962593685,-1.4791283932145824,0.14601845726908802,-0.7104657067898876
FXE,5M,41.92822360112392,-1.0925975555213998,0.35103624477988865,0.4040694098690522,-0.257832450003197,-1.3396161643487559,-0.21859508188094873,-3.16606066034183,0.17967980484450885,-0.3087394008578463
FXY,5M,48.673086163937306,-0.6100697648521164,0.19432268491869134,-0.5379685584858632,-0.13700284182836447,-2.1975414640931867,-0.487632338957682,-4.730797102190074,0.018628673418396007,-0.48163166978333444
CYB,5M,,,,,,,,0.0,0.037566890669388966,
VNQ,5M,73.87198734622218,1.1926608321831673,1.0111552967867563,0.4128167379504427,-0.47837875942966485,0.981412347972072,-0.3049684849426112,1.4320575074439776,0.02257494701966981,-0.20869779378491882
REET,5M,77.35719869900278,1.4419930192235,1.0179329657957068,0.2587106482952911,-0.062575522445425,2.047859524580812,-0.7472641829834464,1.9388338847761353,0.03270910158098704,-0.7036083538649666
INFL,5M,80.6400742487154,1.6768500932250632,0.94252995630589,1.3263202758444785,-0.1308514744063374,-0.39145651236845797,-0.6313847705738658,1.1797180666294123,0.016012400391476556,-0.3102053227266868
VXX,5M,48.56879253487722,-0.6175309360683694,0.45424607200557343,0.020454811287736456,-0.3830729075224936,-1.6995479494220926,-0.5636635677410086,-3.2772942945328665,-0.027265315290215603,0.22263762887891028
